Packet,Epoch,Hadamard_Row,DAC0,DAC1,DAC2,DAC3,DAC4,DAC5,DAC6,DAC7,J+,J-,Delta_J,Scaled_Update
0,44890,4,1296,1642,3259,1512,2323,2940,1777,2640,3390,3426,-36,-6
1,44890,5,1302,1648,3265,1518,2317,2934,1771,2634,3415,3418,-3,-1
2,42763,6,2192,2229,2928,2855,2961,2354,1063,1008,1062,1030,32,4
3,42764,0,2197,2216,2923,2868,2956,2367,1068,995,862,830,32,4
4,42764,2,2195,2226,2921,2878,2954,2377,1066,1005,814,807,7,1
5,42764,4,2198,2221,2918,2883,2957,2372,1063,1010,890,790,100,15
6,42764,6,2182,2207,2902,2869,2973,2386,1079,1024,791,806,-15,-3
7,42765,0,2191,2192,2893,2884,2964,2401,1088,1009,867,890,-23,-4
8,42765,2,2195,2196,2897,2888,2968,2405,1092,1013,799,811,-12,-2
9,42765,4,2189,2198,2903,2886,2962,2407,1098,1011,874,883,-9,-2
10,42765,6,2187,2196,2901,2884,2964,2409,1100,1013,823,795,28,4
11,42766,0,2183,2192,2905,2888,2968,2413,1096,1009,886,879,7,1
12,42766,2,2184,2193,2906,2889,2969,2414,1097,1010,875,859,16,2
13,42766,4,2184,2189,2906,2893,2969,2410,1097,1014,810,807,3,0
14,42766,5,2184,2189,2906,2893,2969,2410,1097,1014,814,879,-65,-10
15,42766,7,2179,2204,2891,2898,2974,2395,1112,1009,854,823,31,4
16,42767,1,2175,2208,2895,2894,2978,2391,1108,1013,863,871,-8,-2
17,42767,3,2166,2203,2900,2903,2969,2386,1113,1022,874,862,12,1
18,42767,5,2166,2205,2902,2903,2967,2386,1113,1020,894,775,119,18
19,42767,7,2147,2222,2885,2922,2986,2369,1130,1001,783,770,13,1
20,42768,1,2142,2215,2878,2917,2979,2364,1125,994,823,791,32,4
21,42768,3,2141,2222,2871,2918,2978,2371,1118,995,778,635,143,21
22,42768,4,2162,2201,2850,2939,2999,2350,1097,1016,590,591,-1,-1
23,42768,6,2157,2208,2845,2946,3004,2343,1102,1009,590,774,-184,-29
24,42769,0,2158,2149,2844,3005,3003,2402,1103,950,787,778,9,1
25,42769,2,2165,2140,2851,2996,3010,2393,1110,941,871,834,37,5
26,42769,4,2172,2143,2844,2993,3017,2396,1103,938,811,770,41,6
27,42769,6,2175,2152,2847,3002,3014,2387,1100,929,795,771,24,3
28,42770,0,2144,2177,2878,2977,3045,2362,1069,954,791,810,-19,-3
29,42770,1,2141,2174,2875,2974,3042,2359,1066,951,874,866,8,1
