Packet,Epoch,Hadamard_Row,DAC0,DAC1,DAC2,DAC3,DAC4,DAC5,DAC6,DAC7,J+,J-,Delta_J,Scaled_Update
0,36932,81,895,1888,2307,0,1,1232,1956,0,-13382,-11000,-48829,-30565
1,33224,168,879,1376,2307,1,3,1248,420,0,5494,21895,-39311,1208
2,32711,136,23,561,1040,4095,4094,1551,1179,16,13688,22407,-39279,-6986
3,33479,88,10,417,16,4095,4093,1551,1435,16,25973,21639,-39231,-19271
4,36039,248,127,881,2064,4,10,1536,1691,0,1407,19080,-39391,5295
5,36039,248,86,1377,16,0,0,1536,1947,0,1407,19080,-39391,5295
6,35014,184,91,945,16,2,4,1552,155,0,-14981,18055,-39455,-11093
7,36806,72,71,369,16,3,7,1552,411,0,21890,19847,-39567,25778
8,36550,56,10,33,2064,0,1,1552,667,0,25987,19591,-39583,29875
9,37062,24,83,1057,272,1,2,1552,923,0,-31359,20103,-39615,-27471
10,37574,56,99,1777,1040,4095,4094,1567,1179,16,25983,19591,-39647,-19277
11,38086,24,42,433,3856,0,2,1552,1435,0,-31363,19079,-39615,-27467
12,37062,216,3947,1248,3343,1,4,1552,1691,0,17785,20103,25985,-11079
13,29637,168,3939,480,1296,4084,4067,1567,1947,16,5468,27529,25521,1238
14,30405,216,75,817,2064,1,3,1568,155,0,17759,28297,25569,13529
15,24518,72,10,1761,3087,9,23,1568,411,0,-19128,22410,25937,-23358
16,22727,216,3922,2032,783,4093,4089,1583,667,16,9551,20619,-39711,5321
17,23751,152,19,673,2320,4094,4092,1583,923,16,25931,21643,-39775,21701
18,21702,24,7,945,3088,4092,4088,1583,1179,16,-6829,23691,-39647,-11075
19,25030,72,2,1377,3088,4090,4083,1583,1435,16,-19130,20364,26097,1226
20,26565,168,102,945,2832,2,6,1568,1691,0,5452,18829,26001,-23356
21,27077,136,54,1073,784,4095,4094,1583,1947,16,-2738,18316,26033,-15166
22,27845,184,98,1825,16,4095,4093,1599,155,16,9553,19085,26081,-2875
23,30661,8,110,545,3088,4,11,1584,411,0,30044,21900,25905,17616
24,31685,72,39,993,2320,4094,4092,1599,667,16,13656,22924,25969,1228
25,32709,8,42,177,3856,1,4,1584,923,0,30036,23948,25905,17608
26,33989,88,3,545,272,4094,4091,1599,1179,16,9551,22668,25825,-27443
27,33989,88,23,289,1296,0,0,1584,1435,0,9551,22668,25825,-27443
28,35525,184,19,865,3344,4093,4090,1599,1691,16,-31403,21132,25729,13511
29,35525,184,110,1697,1040,0,0,1584,1947,0,-31403,21132,25729,13511
30,37829,72,70,161,3088,3,9,1600,155,0,5470,23437,-39663,-15152
31,34758,8,86,49,784,5,12,1600,411,0,-10926,20365,26065,-31548
32,32199,104,27,1393,1040,4092,4086,1615,667,16,30044,17806,-39631,9422
33,30918,184,66,481,1040,2,5,1600,923,0,9569,16526,-39551,-11053
34,29638,104,79,1713,1040,4094,4091,1615,1179,16,30054,17806,-39471,-31538
35,30662,40,83,1697,2320,4094,4092,1615,1435,16,-19102,16782,-39407,17618
36,32197,136,127,1377,2320,2,6,1600,1691,0,5480,15247,-39503,-6964
37,31941,152,67,881,3088,0,1,1600,1947,0,9575,15503,-39519,-11059
38,32197,168,19,369,3088,4095,4095,1631,155,16,13672,15759,-39503,-6962
39,33989,56,3942,864,15,3,7,1616,411,0,-14993,17550,-39615,29909
40,35013,120,3946,2016,3087,4094,4092,1631,667,16,-31381,18574,-39551,13521
41,35781,72,34,161,2064,1,3,1616,923,0,-19096,19342,-39599,25806
42,38342,232,46,1777,3856,4091,4086,1631,1179,16,5470,16782,-39759,1240
43,37318,40,2,433,1808,4094,4092,1631,1435,16,-10910,17805,25713,17620
44,36550,248,123,1633,1296,1,3,1616,1691,0,-23201,18573,-39775,29911
45,37830,168,70,497,1808,2,5,1616,1947,0,21860,17293,-39695,-15150
46,36294,72,47,1377,2320,4093,4090,1647,155,16,-2722,15756,-39791,25804
47,37830,232,66,1633,3088,4093,4090,1647,411,16,-27292,17292,25649,1234
48,37062,184,111,2033,16,4095,4093,1647,667,16,-15001,16524,25601,13525
49,36550,216,114,1585,3856,0,2,1632,923,0,-23191,16012,25633,5335
50,37318,8,74,801,2064,1,3,1632,1179,0,30054,15244,-39951,17626
51,36038,88,71,561,1040,2,5,1632,1435,0,9579,16524,-40031,-27435
52,43204,24,14,1329,2831,11,28,1632,1691,0,-6777,9357,-40479,-11079
53,43973,232,3895,1136,15,4095,4093,1647,1947,16,-19062,8589,25105,1206
54,44741,24,3903,1312,3343,4094,4093,1663,155,16,-6771,9357,-40383,13497
55,42949,136,3867,1120,1295,4093,4089,1663,411,16,21894,7566,-40271,-23374
56,44741,248,11,865,1296,4093,4089,1663,667,16,-6785,9357,-40159,13483
57,45509,200,98,1185,2064,1,3,1648,923,0,5500,10126,-40207,25768
58,46021,232,23,545,1296,4095,4094,1663,1179,16,-2694,9613,-40239,-31574
59,47813,120,95,737,272,3,7,1648,1435,0,25971,7822,-40127,5297
60,48580,168,27,737,3344,4094,4093,1663,1691,16,-27274,7054,-40175,-6994
61,48836,152,51,689,2064,0,1,1648,1947,0,-31369,6798,-40159,-2899
62,49861,216,58,417,16,2,4,1664,155,0,-14981,7822,-40095,13489
63,51396,120,55,1457,3088,4093,4090,1679,411,16,25985,9358,-40191,-11081
64,52420,184,86,929,3088,1,4,1664,667,0,9597,10382,-40127,-27469
65,52164,200,55,737,2320,0,1,1664,923,0,5502,10126,-40111,-31564
